epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1548.27,0.00672,0.73097,0.06767,0.86224,0.88032,0.92628,0.67562,0.00624,0.71416,0.06743,0.00030751,0.00030751,0.00030751
79,1569.84,0.00668,0.72149,0.06763,0.83422,0.9091,0.92394,0.67104,0.0062,0.70533,0.06786,0.00030501,0.00030501,0.00030501
80,1591.71,0.00672,0.72477,0.06768,0.84179,0.89611,0.92288,0.67315,0.00619,0.71268,0.06754,0.00030251,0.00030251,0.00030251
81,1612.31,0.00668,0.71412,0.06769,0.86473,0.87664,0.92326,0.67257,0.00616,0.70779,0.06734,0.00030001,0.00030001,0.00030001
82,1632.33,0.00672,0.72017,0.06776,0.84642,0.89277,0.92848,0.67399,0.00623,0.71416,0.06769,0.00029751,0.00029751,0.00029751
83,1654.45,0.00671,0.7213,0.06779,0.83911,0.90902,0.93049,0.67924,0.00618,0.69654,0.0676,0.00029501,0.00029501,0.00029501
84,1674.04,0.00672,0.71887,0.06793,0.85756,0.88653,0.93471,0.68313,0.00612,0.693,0.06717,0.00029251,0.00029251,0.00029251
85,1694.47,0.00663,0.70642,0.06735,0.84748,0.90263,0.9312,0.68011,0.00618,0.70449,0.0673,0.000290011,0.000290011,0.000290011
86,1715.2,0.00666,0.71809,0.06751,0.83838,0.90823,0.92594,0.67304,0.00615,0.70428,0.06724,0.000287511,0.000287511,0.000287511
87,1735.55,0.00667,0.71127,0.06761,0.85565,0.88237,0.92642,0.67778,0.00609,0.71003,0.06729,0.000285011,0.000285011,0.000285011
88,1755.68,0.00658,0.70454,0.06724,0.82759,0.90748,0.92516,0.67704,0.00613,0.70852,0.06731,0.000282511,0.000282511,0.000282511
89,1777.48,0.00663,0.70532,0.06739,0.84918,0.88612,0.92823,0.68056,0.00612,0.70073,0.067,0.000280011,0.000280011,0.000280011
90,1801.11,0.00658,0.70609,0.06706,0.82982,0.91439,0.93115,0.68289,0.00614,0.70174,0.06696,0.000277511,0.000277511,0.000277511
91,1822.66,0.00662,0.70184,0.06716,0.82322,0.92021,0.93068,0.68349,0.00613,0.6948,0.06725,0.000275011,0.000275011,0.000275011
92,1842.5,0.00664,0.69851,0.06749,0.82617,0.92371,0.93082,0.68413,0.00612,0.69474,0.0671,0.000272511,0.000272511,0.000272511
93,1866.75,0.00664,0.70321,0.06761,0.84572,0.90006,0.93012,0.68141,0.00609,0.69345,0.06695,0.000270012,0.000270012,0.000270012
94,1890.74,0.00655,0.70187,0.06708,0.86845,0.88474,0.92866,0.6812,0.00609,0.68976,0.06707,0.000267512,0.000267512,0.000267512
95,1913.16,0.00657,0.69421,0.06707,0.85088,0.88424,0.92575,0.67648,0.00612,0.7028,0.06735,0.000265012,0.000265012,0.000265012
96,1936.47,0.00653,0.68911,0.06678,0.8434,0.89428,0.92736,0.68251,0.00605,0.69196,0.06689,0.000262512,0.000262512,0.000262512
97,1958.12,0.00654,0.69387,0.06678,0.84733,0.89472,0.9251,0.68177,0.00608,0.69952,0.06704,0.000260012,0.000260012,0.000260012
98,1979.4,0.00654,0.68858,0.06709,0.85287,0.88494,0.92373,0.67731,0.00609,0.70546,0.06695,0.000257512,0.000257512,0.000257512
99,2000.28,0.00658,0.69354,0.06725,0.83145,0.90589,0.92347,0.68035,0.00601,0.69401,0.06663,0.000255012,0.000255012,0.000255012
100,2021.37,0.00647,0.68596,0.06669,0.85971,0.88893,0.92927,0.67891,0.00607,0.69277,0.06686,0.000252512,0.000252512,0.000252512
101,2042.91,0.00659,0.69665,0.06705,0.84292,0.88742,0.92463,0.68086,0.00604,0.70034,0.06651,0.000250013,0.000250013,0.000250013
102,2065.11,0.00659,0.6973,0.06733,0.84721,0.88809,0.92029,0.6759,0.00607,0.70381,0.06692,0.000247513,0.000247513,0.000247513
103,2086.14,0.00648,0.69105,0.06663,0.85647,0.89903,0.92684,0.68536,0.00602,0.68669,0.06652,0.000245013,0.000245013,0.000245013
104,2104.54,0.00652,0.68195,0.06707,0.8481,0.88815,0.92041,0.67913,0.00602,0.70462,0.06674,0.000242513,0.000242513,0.000242513
105,2122.68,0.00649,0.68544,0.06656,0.83969,0.90272,0.92937,0.68664,0.00599,0.68904,0.06643,0.000240013,0.000240013,0.000240013
106,2142.55,0.0065,0.67952,0.06678,0.84539,0.8993,0.92771,0.68668,0.006,0.69808,0.06662,0.000237513,0.000237513,0.000237513
107,2162.4,0.00644,0.67327,0.06662,0.85117,0.88572,0.92285,0.67929,0.00605,0.70466,0.0669,0.000235013,0.000235013,0.000235013
108,2183.08,0.00648,0.67723,0.06674,0.85378,0.89462,0.92154,0.68322,0.00603,0.70032,0.06683,0.000232513,0.000232513,0.000232513
109,2203.94,0.00646,0.67441,0.0664,0.85459,0.89072,0.92277,0.68439,0.00603,0.69491,0.06715,0.000230013,0.000230013,0.000230013
110,2225.76,0.00653,0.68127,0.06697,0.85838,0.88453,0.92063,0.68357,0.00599,0.69346,0.06658,0.000227514,0.000227514,0.000227514
111,2248.2,0.00648,0.67708,0.06702,0.83827,0.90808,0.92386,0.68509,0.006,0.69346,0.06691,0.000225014,0.000225014,0.000225014
112,2269.89,0.00646,0.67188,0.06679,0.85674,0.87202,0.9191,0.68196,0.00598,0.70775,0.06661,0.000222514,0.000222514,0.000222514
113,2292.31,0.00642,0.67007,0.06638,0.83516,0.89744,0.91759,0.67871,0.00604,0.70347,0.06688,0.000220014,0.000220014,0.000220014
114,2313.93,0.00642,0.66913,0.06648,0.83522,0.89712,0.91879,0.6816,0.006,0.70129,0.06668,0.000217514,0.000217514,0.000217514
115,2334.69,0.0064,0.66964,0.06652,0.83366,0.9023,0.92663,0.68772,0.00596,0.69575,0.06658,0.000215014,0.000215014,0.000215014
116,2355.52,0.00639,0.66276,0.06636,0.85518,0.8785,0.92073,0.68424,0.00596,0.69138,0.06651,0.000212514,0.000212514,0.000212514
117,2377.98,0.00637,0.66779,0.06637,0.87419,0.87171,0.9292,0.68528,0.00601,0.68571,0.06661,0.000210015,0.000210015,0.000210015
118,2398.64,0.00639,0.65978,0.06671,0.87684,0.87712,0.92217,0.68179,0.006,0.68797,0.06673,0.000207515,0.000207515,0.000207515
119,2419.23,0.00641,0.66854,0.06689,0.8386,0.90022,0.92345,0.68254,0.00594,0.6911,0.06643,0.000205015,0.000205015,0.000205015
120,2439.91,0.00633,0.65648,0.06626,0.84699,0.89762,0.92268,0.68376,0.00598,0.69318,0.06652,0.000202515,0.000202515,0.000202515
121,2463.06,0.00636,0.65405,0.06653,0.85781,0.88793,0.92492,0.68575,0.00594,0.68958,0.06641,0.000200015,0.000200015,0.000200015
122,2484.53,0.00638,0.65407,0.0665,0.84591,0.89987,0.92469,0.6866,0.00597,0.68633,0.06653,0.000197515,0.000197515,0.000197515
123,2506.62,0.0064,0.65733,0.06633,0.83852,0.90889,0.92438,0.68723,0.00596,0.68963,0.0666,0.000195015,0.000195015,0.000195015
124,2529.5,0.0064,0.66153,0.06638,0.83593,0.90982,0.92223,0.68768,0.00594,0.68746,0.06644,0.000192515,0.000192515,0.000192515
125,2550.81,0.00637,0.65371,0.06679,0.85813,0.88897,0.92062,0.68084,0.00604,0.69217,0.06685,0.000190016,0.000190016,0.000190016
